id	name	gene_name	uniprot_id	conditions	indication_types	concentration	age	sex	biofluid	protein_sequence	citation
8	Pappalysin-1	PAPPA	Q13219	Low Birth Weight	Diagnostic	<1.00 MoM	Adult: >=18 yrs old	Female	Serum	Cohen, J. L., Smilen, K. E., Bianco, A. T., Moshier, E. L., Ferrara, L. A. & Stone, J. L. Predictive value of combined serum biomarkers for adverse pregnancy outcomes. Eur J Obstet Gynecol Reprod Biol 181, 89-94 (2014).
8	Pappalysin-1	PAPPA	Q13219	Preeclampsia/Eclampsia	Diagnostic	<0.87 MoM	Adult: >=18 yrs old	Female	Serum	Cohen, J. L., Smilen, K. E., Bianco, A. T., Moshier, E. L., Ferrara, L. A. & Stone, J. L. Predictive value of combined serum biomarkers for adverse pregnancy outcomes. Eur J Obstet Gynecol Reprod Biol 181, 89-94 (2014).
8	Pappalysin-1	PAPPA	Q13219	Normal	Diagnostic	>0.5 Multiple of the Median (MoM)	Adult: >=18 yrs old	Female	Blood	Pubmed_ID: 24757339
8	Pappalysin-1	PAPPA	Q13219	Normal	Diagnostic	>0.5 Multiple of the Median (MoM)	Adult: >=18 yrs old	Female	Blood	Pubmed_ID: 24757339
8	Pappalysin-1	PAPPA	Q13219	Normal	Diagnostic	>0.5 Multiple of the Median (MoM)	Adult: >=18 yrs old	Female	Blood	Pubmed_ID: 24757339
8	Pappalysin-1	PAPPA	Q13219	Down Syndrome	Diagnostic	<0.4 Muliple of the Mean (MoM)	Adult: >=18 yrs old	Female	Blood	The Pennine Acute Hospital Low PAPP-A guide
8	Pappalysin-1	PAPPA	Q13219	Normal	Diagnostic	1 Muliple of the Mean (MoM)	Adult: >=18 yrs old	Female	Blood	The Pennine Acute Hospital Low PAPP-A guide
10	Aldolase A	ALDOB	P05062	Myopathy Related To Systemic Sclerosis	Risk	>9 U/L	Adult: >=18 yrs old	Both	Serum	Toledano, C., Gain, M., Kettaneh, A., Baudin, B., Johanet, C., Cherin, P., Riviere, S., Cabane, J. & Tiev, K. P. Aldolase predicts subsequent myopathy occurrence in systemic sclerosis. Arthritis Res Ther 14, R152 (2012).
10	Aldolase A	ALDOB	P05062	Liver Disease	Diagnostic	>7.5 U/L	Adult: >=18 yrs old	Both	Blood	Health line: Aldolase
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Health line: ALD test
10	Aldolase A	ALDOB	P05062	Liver Disease	Diagnostic	>14.5 U/L	Children: 2-17 yrs old	Both	Blood	Health line: Aldolase
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	<14.5 U/L	Children: 2-17 yrs old	Both	Blood	Health line: ALD test
10	Aldolase A	ALDOB	P05062	Myocardial Infarction	Diagnostic	>7.5 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Cirrhosis	Diagnostic	>7.5 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Prostate Cancer	Diagnostic	>7.5 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Leukemia	Diagnostic	>7.5 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Pancreatic Cancer	Diagnostic	>7.5 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Renal Cell Carcinoma	Diagnostic	>7.5 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Hepatocellular Carcinoma	Diagnostic	>7.5 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Hepatitis	Diagnostic	>7.5 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Muscular dystrophy	Diagnostic	>7.5 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Muscle atrophy	Diagnostic	<2 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Fructose intolerance	Diagnostic	<2 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Muscular dystrophy	Diagnostic	<2 U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
10	Aldolase A	ALDOB	P05062	Normal	Diagnostic	4.25 (1-7.5) U/L	Adult: >=18 yrs old	Both	Blood	Healthline: adolase test
12	Alpha-1-antitrypsin	SERPINA1	P01009	Alpha 1 Antitrypsin Deficiency	Diagnostic	<120 mg/dL	Adult: >=18 yrs old	Both	Serum	Corda, L., Bertella, E., Pini, L., Pezzini, A., Medicina, D., Boni, E., Guerini, M., Trivella, S., Grassi, V. & Tantucci, C. Diagnostic flow chart for targeted detection of alpha1-antitrypsin deficiency. Respir Med 100, 463-470 (2006).
12	Alpha-1-antitrypsin	SERPINA1	P01009	Normal	Diagnostic	133 (112-154) mg/dL	Adult: >=18 yrs old	Both	Blood	Corda, L., Bertella, E., Pini, L., Pezzini, A., Medicina, D., Boni, E., Guerini, M., Trivella, S., Grassi, V. & Tantucci, C. Diagnostic flow chart for targeted detection of alpha1-antitrypsin deficiency. Respir Med 100, 463-470 (2006).
12	Alpha-1-antitrypsin	SERPINA1	P01009	Normal	Diagnostic	1.45 (1.1-1.8) g/L	Infant/Adolescent: 0-<19 yrs old	Both	Blood	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
12	Alpha-1-antitrypsin	SERPINA1	P01009	Normal	Diagnostic	0.53 (0.21-0.85) g/L	Infant: 0-<6 months old	Both	Plasma	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
12	Alpha-1-antitrypsin	SERPINA1	P01009	Normal	Diagnostic	1.245 (0.48-2.01) g/L	Infant/Children: 6 months - <5 yrs old	Both	Plasma	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
12	Alpha-1-antitrypsin	SERPINA1	P01009	Normal	Diagnostic	0.81 (0.48-1.14) g/L	Children/Adolescent: 5-<19 yrs old	Both	Plasma	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
12	Alpha-1-antitrypsin	SERPINA1	P01009	Normal	Diagnostic	145 (100-190) mg/dL	All	Both	Serum	Mayo Clinic Test Catalog
13	Serum amyloid A-1 protein	SAA1	P0DJI8	Normal	Diagnostic	21.05 (2.5-39.6) ug/mL	Adult: >=18 yrs old	Both	Serum	Miyoshi, S., Hamada, H., Kadowaki, T., Hamaguchi, N., Ito, R., Irifune, K. & Higaki, J. Comparative evaluation of serum markers in pulmonary sarcoidosis. Chest 137, 1391-1397 (2010).
13	Serum amyloid A-1 protein	SAA1	P0DJI8	Pulmonary Sarcoidosis	Prognostic	>9.3 ug/mL	Adult: >=18 yrs old	Both	Serum	Miyoshi, S., Hamada, H., Kadowaki, T., Hamaguchi, N., Ito, R., Irifune, K. & Higaki, J. Comparative evaluation of serum markers in pulmonary sarcoidosis. Chest 137, 1391-1397 (2010).
