id	name	hmdb_id	conditions	indication_types	concentration	age	sex	biofluid	citation
86	Glycocholic acid	HMDB0000138	Alpha 1 Antitrypsin Deficiency	Diagnostic	25.9 (1.9-49.9) uM	Children: 2-17 yrs old	Unknown	Blood	Matsui, A., Psacharopoulos, H. T., Mowat, A. P., Portmann, B. & Murphy, G. M. Radioimmunoassay of serum glycocholic acid, standard laboratory tests of liver function and liver biopsy findings: comparative study of children with liver disease. J Clin Pathol 35, 1011-1017 (1982).
86	Glycocholic acid	HMDB0000138	Celiac Disease	Diagnostic	0.70 (0.57-0.83) uM	Adult	Both	Blood	Spiller, R. C., Frost, P. F., Stewart, J. S., Bloom, S. R. & Silk, D. B. Delayed postprandial plasma bile acid response in coeliac patients with slow mouth-caecum transit. Clin Sci (Lond) 72, 217-223 (1987).
86	Glycocholic acid	HMDB0000138	Normal	Diagnostic	0.060 (0.020-0.100) uM	Adult	Both	Blood	Spiller, R. C., Frost, P. F., Stewart, J. S., Bloom, S. R. & Silk, D. B. Delayed postprandial plasma bile acid response in coeliac patients with slow mouth-caecum transit. Clin Sci (Lond) 72, 217-223 (1987).
86	Glycocholic acid	HMDB0000138	Intrahepatic Biliary Hypoplasia	Diagnostic	91.8 (36.9-146.7) uM	Adult	Unknown	Blood	Matsui, A., Psacharopoulos, H. T., Mowat, A. P., Portmann, B. & Murphy, G. M. Radioimmunoassay of serum glycocholic acid, standard laboratory tests of liver function and liver biopsy findings: comparative study of children with liver disease. J Clin Pathol 35, 1011-1017 (1982).
86	Glycocholic acid	HMDB0000138	Portal Vein Obstruction	Diagnostic	10.5 (0-23.6) uM	Children: 2-17 yrs old	Unknown	Blood	Matsui, A., Psacharopoulos, H. T., Mowat, A. P., Portmann, B. & Murphy, G. M. Radioimmunoassay of serum glycocholic acid, standard laboratory tests of liver function and liver biopsy findings: comparative study of children with liver disease. J Clin Pathol 35, 1011-1017 (1982).
86	Glycocholic acid	HMDB0000138	Normal	Diagnostic	0.60 (0.40-1.9) uM	Infant: 1 wk-2 yrs old	Both	Blood	Pubmed_ID: 27163928
86	Glycocholic acid	HMDB0000138	Hepatobiliary Diseases	Diagnostic	43.6 (31.8-55.4) uM	Adult	Both	Blood	Rifai, K., Ockenga, J., Manns, M. P. & Bischoff, S. C. Repeated administration of a vitamin preparation containing glycocholic acid in patients with hepatobiliary disease. Aliment Pharmacol Ther 23, 1337-1345 (2006).
86	Glycocholic acid	HMDB0000138	Chronic Active Hepatitis	Diagnostic	14.5 (0-30.6) uM	Children: 2-17 yrs old	Unknown	Blood	Matsui, A., Psacharopoulos, H. T., Mowat, A. P., Portmann, B. & Murphy, G. M. Radioimmunoassay of serum glycocholic acid, standard laboratory tests of liver function and liver biopsy findings: comparative study of children with liver disease. J Clin Pathol 35, 1011-1017 (1982).
86	Glycocholic acid	HMDB0000138	Normal	Diagnostic	<=2.17 (N/A-2.17) nmol/mL	All	Both	Serum	Mayo Clinic Test Catalog
86	Glycocholic acid	HMDB0000138	Normal	Diagnostic	0.06 +/- 0.04 (N/A-N/A) uM	Adult (>18 years old)	Both	Blood	Wishart, D. S., Knox, C., Guo, A. C., Eisner, R., Young, N., Gautam, B., Hau, D. D., Psychogios, N., Dong, E., Bouatra, S., Mandal, R., Sinelnikov, I., Xia, J., Jia, L., Cruz, J. A., Lim, E., Sobsey, C. A., Shrivastava, S., Huang, P., Liu, P., Fang, L., Peng, J., Fradette, R., Cheng, D., Tzur, D., Clements, M., Lewis, A., De Souza, A., Zuniga, A., Dawe, M., Xiong, Y., Clive, D., Greiner, R., Nazyrova, A., Shaykhutdinov, R., Li, L., Vogel, H. J. & Forsythe, I. HMDB: a knowledgebase for the human metabolome. Nucleic Acids Res 37, D603-D610 (2009).
